ts_code,name,industry,trade_date,limit_type,close,up_limit,down_limit,open_times,fd_amount,first_time,last_time,seal_amount_x,pct_chg,amount,vol,turnover_rate_f,turnover_rate,circ_mv,total_mv,volume_ratio,lhb_net_amount,limit_up_flag,seal_amount_y,seal_amount,_f_momo,_f_amt,_f_turn,_f_vr,_f_cap,_f_small,_bonus,_penalty,StrengthScore
601700.SH,风范股份,电气设备,20260311,U,6.9,6.9,5.64,1.0,85001169.0,92500,93543,85001169.0,10.0478,419722.684,609931.15,10.8691,10.8691,,785742.537,1.39,99479723.8,1,85001169.0,85001169.0,0.18867924528301888,0.8867924528301887,0.7735849056603774,0.5849056603773585,0.5094339622641509,0.5094339622641509,0.05,0.0,65.867925
600075.SH,新疆天业,化工原料,20260311,U,7.47,7.47,6.11,1.0,25423293.0,135321,135421,25423293.0,10.0147,610135.039,856491.51,8.8285,8.8285,,1275400.7474,1.21,,1,25423293.0,25423293.0,0.33962264150943394,0.6792452830188679,0.8490566037735849,0.7169811320754716,0.5094339622641509,0.5094339622641509,0.05,0.0,65.754717
600328.SH,中盐化工,化工原料,20260311,U,9.94,9.94,8.14,0.0,74832981.0,130315,130315,74832981.0,9.9558,895472.485,930590.17,11.6831,11.6831,,1457511.6758,2.22,,1,74832981.0,74832981.0,0.9245283018867925,0.49056603773584906,0.7169811320754716,0.33962264150943394,0.5094339622641509,0.5094339622641509,0.05,0.0,65.716981
603353.SH,和顺石油,石油贸易,20260311,U,42.85,42.85,35.06,0.0,37671149.0,93720,93720,37671149.0,10.0128,459919.976,108843.61,19.4503,19.4503,,736617.21,0.64,,1,37671149.0,37671149.0,0.39622641509433965,0.8490566037735849,0.33962264150943394,0.9622641509433962,0.5094339622641509,0.5094339622641509,0.05,0.0,62.962264
605117.SH,德业股份,电气设备,20260311,U,131.88,131.88,107.9,1.0,171390588.0,100601,100707,171390588.0,10.0008,1773873.209,139427.28,3.8643,3.8643,,11986300.7227,0.82,,1,171390588.0,171390588.0,0.49056603773584906,0.2641509433962264,0.9811320754716981,0.839622641509434,0.5094339622641509,0.5094339622641509,0.05,0.0,61.301887
002782.SZ,可立克,元器件,20260311,U,28.78,28.78,23.54,0.0,38822781.0,101109,101109,38822781.0,10.0153,641100.063,229248.6,11.3633,11.3633,,1427384.4294,1.28,,1,38822781.0,38822781.0,0.3018867924528302,0.6226415094339622,0.7547169811320755,0.6415094339622641,0.5094339622641509,0.5094339622641509,0.05,0.0,61.113208
002175.SZ,东方智造,电器仪表,20260311,U,3.53,3.53,2.89,1.0,42405890.0,94739,104621,42405890.0,9.9688,624637.738,1800426.42,17.4533,17.4533,,450703.5966,4.32,,1,42405890.0,42405890.0,0.8584905660377359,0.660377358490566,0.41509433962264153,0.09433962264150944,0.5094339622641509,0.5094339622641509,0.05,0.0,60.943396
603773.SH,沃格光电,元器件,20260311,U,43.36,43.36,35.48,0.0,102455213.0,103828,103828,102455213.0,9.9949,894966.183,211645.94,15.2438,15.2438,,974119.8327,1.55,,1,102455213.0,102455213.0,0.660377358490566,0.5094339622641509,0.5660377358490566,0.5283018867924528,0.5094339622641509,0.5094339622641509,0.05,0.0,59.943396
000833.SZ,粤桂股份,综合类,20260311,U,27.52,27.52,22.52,1.0,111012790.0,100124,100512,111012790.0,9.992,1398125.706,527300.46,14.2222,14.2222,,2207330.2722,0.78,107247739.49,1,111012790.0,111012790.0,0.6792452830188679,0.3018867924528302,0.6037735849056604,0.9056603773584906,0.5094339622641509,0.5094339622641509,0.05,0.0,58.660377
000062.SZ,深圳华强,元器件,20260311,U,26.2,26.2,21.44,0.0,206373155.0,140921,140921,206373155.0,9.9916,918761.88,362430.97,11.4318,11.4318,,2740282.4236,4.96,,1,206373155.0,206373155.0,0.6981132075471698,0.4528301886792453,0.7358490566037735,0.03773584905660377,0.5094339622641509,0.5094339622641509,0.05,0.0,58.622642
000545.SZ,金浦钛业,化工原料,20260311,U,3.83,3.83,3.13,0.0,202675637.0,102345,102345,202675637.0,10.0575,508366.875,1400010.99,16.6652,16.6652,,377957.0758,0.86,,1,202675637.0,202675637.0,0.1320754716981132,0.7924528301886793,0.4716981132075472,0.8113207547169812,0.5094339622641509,0.5094339622641509,0.05,0.0,58.169811
603757.SH,大元泵业,机械基件,20260311,U,47.43,47.43,38.81,2.0,58664032.0,93409,93524,58664032.0,9.9954,681356.873,144849.72,17.8608,17.8608,,884793.6494,1.71,,1,58664032.0,58664032.0,0.6415094339622641,0.6037735849056604,0.37735849056603776,0.4716981132075472,0.5094339622641509,0.5094339622641509,0.05,0.0,57.830189
