ts_code,trade_date,turnover_rate,turnover_rate_f,volume_ratio,total_mv,float_mv
301035.SZ,20260126,1.2085,3.7175,0.91,2212475.2751,
600125.SH,20260126,1.5422,2.2033,0.9,859033.3931,
002535.SZ,20260126,3.4351,5.2902,1.15,331095.1096,
002242.SZ,20260126,1.5245,4.6963,1.43,815665.173,
603217.SH,20260126,1.3132,3.4844,0.74,568703.4108,
600308.SH,20260126,1.9408,3.223,1.09,624950.5125,
605188.SH,20260126,1.2557,7.1799,0.81,995172.1885,
920005.BJ,20260126,2.7646,2.7646,1.49,350260.0,
000656.SZ,20260126,0.999,1.6512,1.05,1573844.0815,
600391.SH,20260126,11.5349,18.0284,1.0,1594194.7132,
300065.SZ,20260126,16.6706,17.236,1.13,1706440.1134,
600698.SH,20260126,2.578,4.9514,1.41,920097.0873,
002836.SZ,20260126,2.6674,6.8325,0.71,367718.4,
688179.SH,20260126,5.3869,10.0256,0.66,536162.4453,
300858.SZ,20260126,6.1573,7.5155,1.69,500904.2193,
002605.SZ,20260126,3.7306,5.9779,0.86,1098501.4245,
300887.SZ,20260126,12.3621,21.0898,1.52,653793.1812,
600076.SH,20260126,9.6735,15.8992,1.06,549918.2371,
300277.SZ,20260126,9.2134,13.1308,0.81,616085.1,
002204.SZ,20260126,3.1056,6.9676,1.22,1491017.6647,
300366.SZ,20260126,3.123,3.3043,1.2,430771.4904,
601390.SH,20260126,6.8399,15.5289,6.03,14318008.7188,
603225.SH,20260126,0.9412,2.365,0.91,3232788.2591,
300551.SZ,20260126,6.1773,7.7182,1.1,605991.9791,
000890.SZ,20260126,5.5209,9.2623,1.15,223595.6149,
920433.BJ,20260126,3.5076,6.2213,4.0,164044.5155,
003015.SZ,20260126,3.2642,3.7657,1.28,455609.0672,
301082.SZ,20260126,4.1363,8.0798,0.86,441302.8893,
603307.SH,20260126,5.0547,5.0547,0.92,286127.631,
920729.BJ,20260126,38.0848,38.8938,28.43,322279.65,
688028.SH,20260126,9.2952,15.1117,1.48,1512207.082,
002319.SZ,20260126,13.5888,18.3632,2.28,303735.1395,
603032.SH,20260126,3.861,7.6077,1.36,467262.8747,
600549.SH,20260126,4.5512,7.2279,1.04,10400274.7461,
600917.SH,20260126,0.6104,1.3554,0.96,892914.7427,
000683.SZ,20260126,1.5487,2.0519,0.65,3203908.8047,
600874.SH,20260126,1.1482,2.744,1.05,995645.0659,
688372.SH,20260126,5.0213,7.2406,0.87,1934718.8821,
300825.SZ,20260126,2.683,3.0314,1.29,516467.9788,
600067.SH,20260126,3.8247,6.0765,0.85,630425.9388,
002039.SZ,20260126,1.9407,3.2186,0.86,767894.3943,
920273.BJ,20260126,2.6205,4.7839,0.88,341863.1924,
301186.SZ,20260126,2.4393,7.2221,0.89,424330.0954,
688721.SH,20260126,5.3711,5.3711,1.3,644004.0,
920579.BJ,20260126,4.6741,4.6741,1.46,330174.0,
300409.SZ,20260126,12.6325,12.9961,1.34,2447656.9739,
000930.SZ,20260126,2.7459,6.2077,1.05,1208543.9998,
603985.SH,20260126,2.7048,4.7801,1.07,731383.427,
000403.SZ,20260126,2.0847,3.3555,2.15,1362869.8515,
300620.SZ,20260126,7.9375,15.5818,1.18,3865039.4335,
601880.SH,20260126,0.7951,2.4524,1.41,3960056.8918,
920670.BJ,20260126,8.7104,10.576,0.88,200366.1888,
300836.SZ,20260126,4.7654,5.5007,0.9,640735.6219,
300348.SZ,20260126,5.0824,5.2202,1.35,1193037.1922,
002210.SZ,20260126,4.4842,6.4018,1.6,848933.2549,
300381.SZ,20260126,2.108,2.9737,1.34,354055.3134,
002748.SZ,20260126,4.0034,8.6494,0.86,303840.0,
300918.SZ,20260126,5.3441,10.2793,1.93,885735.2473,
002395.SZ,20260126,2.9654,8.3589,0.69,504769.338,
300843.SZ,20260126,3.6183,8.4403,0.79,823926.5755,
300684.SZ,20260126,6.8093,7.8793,0.62,1655387.4755,
603667.SH,20260126,11.2484,17.6722,0.67,3050835.2769,
688779.SH,20260126,7.6918,13.6515,1.85,2106707.5236,
300267.SZ,20260126,11.709,15.4778,1.73,905483.5379,
300553.SZ,20260126,9.001,10.5421,1.23,501374.634,
601933.SH,20260126,4.2306,9.1215,1.1,4110991.7578,
920942.BJ,20260126,3.839,4.8886,0.77,203115.3552,
601658.SH,20260126,0.266,1.7305,1.23,61008287.1739,
002819.SZ,20260126,2.6782,5.3515,1.06,875460.7122,
688718.SH,20260126,0.9214,2.6965,1.06,254723.9343,
603306.SH,20260126,3.9866,5.4681,0.94,2438587.4105,
002424.SZ,20260126,2.4466,2.9966,1.45,607955.304,
603328.SH,20260126,2.4533,5.9808,1.03,1152202.7731,
603989.SH,20260126,1.6096,4.71,0.82,731362.2632,
603194.SH,20260126,1.8839,1.8839,0.88,1602396.0,
600884.SH,20260126,4.0086,4.3709,0.66,3131182.7053,
688325.SH,20260126,2.3057,4.5796,1.28,861562.428,
002237.SZ,20260126,9.0746,13.2592,1.06,2705504.0119,
300113.SZ,20260126,17.9721,20.1081,3.7,1706180.9407,
601808.SH,20260126,1.5523,8.3613,2.21,7806324.512,
603488.SH,20260126,4.6402,7.3711,0.95,281186.7937,
603006.SH,20260126,2.0199,7.1642,0.7,359261.2553,
300001.SZ,20260126,3.0154,4.4757,0.78,3020948.9346,
000887.SZ,20260126,4.887,8.2174,1.55,2904176.3819,
605577.SH,20260126,0.7245,3.5242,0.86,626222.223,
603106.SH,20260126,3.0419,6.8557,1.28,560079.52,
688568.SH,20260126,6.0727,14.1517,1.36,6230288.4115,
601101.SH,20260126,1.1757,3.2042,1.67,1121758.3844,
000795.SZ,20260126,2.2973,4.5222,0.97,1205106.2015,
603567.SH,20260126,3.0812,9.087,1.29,799847.0378,
301188.SZ,20260126,2.7378,4.7659,1.25,452555.5158,
603939.SH,20260126,3.2554,6.7272,3.0,2973997.4754,
300441.SZ,20260126,1.683,3.2197,0.67,514888.2785,
301349.SZ,20260126,6.3678,7.3906,0.84,523566.0,
603331.SH,20260126,5.2736,7.4499,1.2,317415.7485,
301248.SZ,20260126,11.5703,13.1523,1.1,790043.7,
002565.SZ,20260126,17.6752,23.2122,1.46,1798801.2006,
603345.SH,20260126,1.823,2.4307,1.11,2988935.1422,
600375.SH,20260126,4.4213,5.0809,0.98,1016347.2467,
601699.SH,20260126,1.5601,4.1555,1.58,3948660.144,
300667.SZ,20260126,8.839,9.9818,1.36,383078.665,
688787.SH,20260126,5.6292,8.8823,0.68,890882.2582,
300755.SZ,20260126,1.3278,4.429,1.67,694386.1344,
600163.SH,20260126,1.7741,5.2124,0.56,1118961.7321,
301063.SZ,20260126,3.1568,5.2817,1.03,278851.8545,
688757.SH,20260126,20.3734,20.3734,1.4,1411590.201,
688531.SH,20260126,3.5092,3.5092,1.19,1254705.2758,
300318.SZ,20260126,8.7696,18.8859,4.78,587351.4559,
300610.SZ,20260126,5.2711,5.726,1.32,264459.8154,
603915.SH,20260126,2.3406,6.5546,1.3,1187191.5238,
300510.SZ,20260126,4.4443,6.5175,0.53,377708.3406,
301226.SZ,20260126,4.2333,8.9606,1.58,347942.4,
600337.SH,20260126,4.426,8.2399,0.63,423914.4504,
920179.BJ,20260126,5.9169,8.0486,0.63,380622.69,
688580.SH,20260126,2.7637,7.4544,0.96,545896.3416,
300849.SZ,20260126,2.9769,4.808,0.64,283500.0,
002633.SZ,20260126,2.0817,4.3188,1.33,247950.0,
301607.SZ,20260126,5.85,7.2648,0.92,780987.505,
300543.SZ,20260126,3.387,3.7562,1.04,354778.0048,
920992.BJ,20260126,2.9148,4.925,0.97,180112.9991,
002309.SZ,20260126,8.746,9.3553,1.43,929368.604,
688309.SH,20260126,2.9358,5.7776,0.8,220179.7189,
002800.SZ,20260126,4.7013,8.8725,0.95,260352.7446,
000755.SZ,20260126,0.6323,2.7712,0.81,782076.3345,
002996.SZ,20260126,7.7695,10.912,1.94,577723.9895,
688486.SH,20260126,3.5602,4.2356,1.04,1035424.9995,
600012.SH,20260126,0.4233,2.0126,1.08,2403988.7878,
002405.SZ,20260126,8.4555,9.3608,1.83,2574524.612,
600105.SH,20260126,8.3133,11.0658,0.85,3780718.558,
601999.SH,20260126,1.332,4.1016,1.27,411533.2809,
603969.SH,20260126,2.7147,4.5387,1.11,919930.112,
002216.SZ,20260126,1.2713,2.5923,0.88,1033041.2564,
600547.SH,20260126,2.6121,5.932,1.48,25695747.1724,
001382.SZ,20260126,6.8939,6.8939,0.62,878384.0,
002522.SZ,20260126,5.2189,6.9605,1.15,552525.4261,
300861.SZ,20260126,14.0748,22.6785,3.34,1209984.6324,
600561.SH,20260126,1.8982,3.1507,1.02,198849.2832,
300368.SZ,20260126,4.6017,6.5731,1.34,729941.9955,
000553.SZ,20260126,0.3934,2.4546,0.81,1449142.9185,
601600.SH,20260126,5.1257,8.7174,1.96,22988546.9845,
300631.SZ,20260126,3.684,5.0145,1.16,391385.9171,
603199.SH,20260126,2.9965,5.411,0.45,470943.4,
301522.SZ,20260126,6.8533,10.4298,1.17,1509034.9347,
688189.SH,20260126,3.712,6.6625,2.2,249704.0,
002429.SZ,20260126,3.3859,7.3521,0.94,4504305.904,
000869.SZ,20260126,0.39,1.6192,0.77,1396635.272,
001367.SZ,20260126,7.635,7.635,2.22,377373.9224,
603166.SH,20260126,4.1888,10.2591,0.97,1136990.7964,
600156.SH,20260126,2.0094,3.3667,1.0,327720.2221,
002549.SZ,20260126,5.4818,9.9374,0.49,1593737.3891,
002373.SZ,20260126,4.3799,6.0258,1.23,2019480.5388,
600056.SH,20260126,4.0289,8.5287,4.41,1672393.5583,
002431.SZ,20260126,4.4852,7.4488,0.86,488451.6913,
301246.SZ,20260126,6.7847,7.0759,0.69,896815.2456,
603699.SH,20260126,0.8064,2.2486,0.89,4590450.045,
002293.SZ,20260126,0.9661,1.8406,0.96,829673.2686,
600098.SH,20260126,0.8059,3.0376,1.0,2461117.2167,
688693.SH,20260126,4.0715,5.1833,1.07,302326.3177,
300654.SZ,20260126,14.001,26.2235,2.52,440082.0721,
300288.SZ,20260126,4.1233,4.7115,1.06,499139.4508,
002437.SZ,20260126,10.3171,11.0833,1.58,807994.1816,
002783.SZ,20260126,7.3215,9.2555,1.1,538806.9011,
002732.SZ,20260126,1.4361,3.4201,0.91,277880.1,
002752.SZ,20260126,2.2002,6.0821,1.1,664304.5582,
603997.SH,20260126,1.6222,2.7995,1.22,1881679.7339,
301526.SZ,20260126,12.3454,16.1581,0.72,3005389.8043,
000998.SZ,20260126,1.8383,2.2251,1.42,1425364.6192,
300135.SZ,20260126,2.2032,3.3235,1.18,383385.6,
600410.SH,20260126,14.6573,14.6573,0.84,2194085.8607,
600654.SH,20260126,3.4592,5.3536,1.22,1159655.4029,
